"label","type","term","transformation","prior_mean","prior_sd"
"tb_g","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_g","init_state_tex_prior","i_l","Identity",0,0.1
"tb_h","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_h","parameter","b","InvSigmoid",0.35,0.25
"tb_h","parameter","f","InvSoftPlus",0.04,0.25
"tb_h","parameter","d","InvSoftPlus",0.14,0.25
"tb_h","init_state_tex_prior","s_l","Identity",0,0.1
"tb_h","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_h","init_state_tex_prior","lf_l","Identity",0,0.1
"tb_h","init_state_tex_prior","i_l","Identity",0,0.1
"tb_i","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_i","parameter","f","InvSoftPlus",0.04,0.25
"tb_i","parameter","d","InvSoftPlus",0.14,0.25
"tb_i","parameter","e","InvSoftPlus",0.06,0.25
"tb_i","init_state_tex_prior","s_l","Identity",0,0.1
"tb_i","init_state_tex_prior","lf_l","Identity",0,0.1
"tb_i","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_i","init_state_tex_prior","i_l","Identity",0,0.1
"tb_j_n2","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_j_n2","parameter","c","InvSoftPlus",0.05,0.25
"tb_j_n2","parameter","f1","InvSoftPlus",0.12,0.25
"tb_j_n2","init_state_tex_prior","s_l","Identity",0,0.1
"tb_j_n2","init_state_tex_prior","l1_l","Identity",0,0.1
"tb_j_n2","init_state_tex_prior","l2_l","Identity",0,0.1
"tb_j_n2","init_state_tex_prior","i_l","Identity",0,0.1
"tb_j_n3","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_j_n3","parameter","c","InvSoftPlus",0.05,0.25
"tb_j_n3","parameter","f1","InvSoftPlus",0.12,0.25
"tb_j_n3","parameter","f2","InvSoftPlus",0.12,0.25
"tb_j_n3","init_state_tex_prior","s_l","Identity",0,0.1
"tb_j_n3","init_state_tex_prior","l1_l","Identity",0,0.1
"tb_j_n3","init_state_tex_prior","l2_l","Identity",0,0.1
"tb_j_n3","init_state_tex_prior","l3_l","Identity",0,0.1
"tb_j_n3","init_state_tex_prior","i_l","Identity",0,0.1
"tb_j_n5","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_j_n5","parameter","c","InvSoftPlus",0.05,0.25
"tb_j_n5","parameter","f1","InvSoftPlus",0.12,0.25
"tb_j_n5","parameter","f2","InvSoftPlus",0.12,0.25
"tb_j_n5","parameter","f3","InvSoftPlus",0.12,0.25
"tb_j_n5","parameter","f4","InvSoftPlus",0.12,0.25
"tb_j_n5","init_state_tex_prior","s_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","l1_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","l2_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","l3_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","l4_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","l5_l","Identity",0,0.1
"tb_j_n5","init_state_tex_prior","i_l","Identity",0,0.1
"tb_k","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_k","parameter","x1","InvSoftPlus",0.06,0.25
"tb_k","parameter","x2","InvSoftPlus",0.15,0.25
"tb_k","init_state_tex_prior","s_l","Identity",0,0.1
"tb_k","init_state_tex_prior","l_l","Identity",0,0.1
"tb_k","init_state_tex_prior","i_l","Identity",0,0.1
"tb_l","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_l","parameter","x1","InvSoftPlus",0.06,0.25
"tb_l","parameter","x2","InvSoftPlus",0.3,0.25
"tb_l","parameter","x3","InvSoftPlus",0.08,0.25
"tb_l","init_state_tex_prior","s_l","Identity",0,0.1
"tb_l","init_state_tex_prior","l_l","Identity",0,0.1
"tb_l","init_state_tex_prior","i_l","Identity",0,0.1
